DateTime,score
2000-07-28,5
2000-08-02,2
2000-08-03,4
2001-02-18,6
2001-02-20,9
2001-08-09,2
2001-08-11,6
2001-08-15,7
2002-01-11,8
2002-01-12,6
2002-08-05,6
2002-08-07,7
2003-02-04,3
2003-02-05,7
2003-02-06,4
2003-07-27,4
2003-08-01,4
2003-08-02,6
2004-02-18,5
2004-02-24,4
2004-02-26,5
2004-08-17,5
2004-08-19,1
2005-02-08,2
2005-02-09,2
2005-02-10,1
2005-09-06,3
2005-09-08,0
2006-02-26,1
2006-03-01,3
2006-03-02,0
2007-02-18,2
2007-02-21,3
2008-03-14,1
2008-03-15,1
2009-02-17,3
2009-02-19,3
2009-02-20,0
2010-03-05,6
2010-03-06,3
2010-03-10,3
2011-03-03,5
2011-03-05,1
2011-03-09,2
2012-04-18,2
2012-04-21,5
2012-04-25,0
2013-02-07,6
2013-02-13,1
2013-02-16,3
2014-03-07,7
2014-03-13,3
2014-03-14,3
2015-03-25,3
2015-03-26,5
2015-03-28,2
2016-03-03,5
2016-03-09,5
2017-03-17,6
2017-03-23,5
2018-05-30,5
2018-06-01,5
2018-06-07,5
2019-02-27,3
2019-02-28,4
2019-03-09,2
2020-02-19,1
2020-02-27,6
2020-02-28,2
